target,target_label,representation_index,layer_label,stream,n_seeds,mean_cv_r2,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile
BpowD,B^D,0,input,B_ones,1,-0.11159979762577285,-0.11159979762577285,-0.11159979762577285
BpowD,B^D,0,input,B_tag,1,-0.13046239733120935,-0.13046239733120935,-0.13046239733120935
BpowD,B^D,0,input,B_tens,1,-0.10468360173390975,-0.10468360173390975,-0.10468360173390975
BpowD,B^D,0,input,D_ones,1,0.33860478890808554,0.33860478890808554,0.33860478890808554
BpowD,B^D,0,input,D_tag,1,-0.13046239733120935,-0.13046239733120935,-0.13046239733120935
BpowD,B^D,0,input,N_hundreds,1,-0.06462904627120838,-0.06462904627120838,-0.06462904627120838
BpowD,B^D,0,input,N_ones,1,-0.1342768255426568,-0.1342768255426568,-0.1342768255426568
BpowD,B^D,0,input,N_tag,1,-0.13046239733120935,-0.13046239733120935,-0.13046239733120935
BpowD,B^D,0,input,N_tens,1,-0.13387264309533192,-0.13387264309533192,-0.13387264309533192
BpowD,B^D,0,input,O[0],1,-0.13046239733120935,-0.13046239733120935,-0.13046239733120935
BpowD,B^D,0,input,O[1],1,-0.09700280784657714,-0.09700280784657714,-0.09700280784657714
BpowD,B^D,1,0,B_ones,1,-0.050108506403238405,-0.050108506403238405,-0.050108506403238405
BpowD,B^D,1,0,B_tag,1,-0.0753067662877593,-0.0753067662877593,-0.0753067662877593
BpowD,B^D,1,0,B_tens,1,0.0019700392733664972,0.0019700392733664972,0.0019700392733664972
BpowD,B^D,1,0,D_ones,1,0.9980138248369566,0.9980138248369566,0.9980138248369566
BpowD,B^D,1,0,D_tag,1,-0.08181727096264532,-0.08181727096264532,-0.08181727096264532
BpowD,B^D,1,0,N_hundreds,1,-0.039884269922321726,-0.039884269922321726,-0.039884269922321726
BpowD,B^D,1,0,N_ones,1,-0.1115291380632728,-0.1115291380632728,-0.1115291380632728
BpowD,B^D,1,0,N_tag,1,-0.13046239733120935,-0.13046239733120935,-0.13046239733120935
BpowD,B^D,1,0,N_tens,1,-0.057604853415239576,-0.057604853415239576,-0.057604853415239576
BpowD,B^D,1,0,O[0],1,0.7298529266352203,0.7298529266352203,0.7298529266352203
BpowD,B^D,1,0,O[1],1,0.5673699565606788,0.5673699565606788,0.5673699565606788
