checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_tag,BpowD,B^D,-0.13046239733120935,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_tag,NdivBpowD,N / B^D,-0.29309006550487654,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_tag,floorNdivBpowD,floor(N / B^D),-0.29152325156489406,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6378409576863857,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_hundreds,BpowD,B^D,-0.06462904627120838,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_hundreds,NdivBpowD,N / B^D,-0.22603994408483982,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.22457397758663866,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6344614961208348,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_tens,BpowD,B^D,-0.13387264309533192,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_tens,NdivBpowD,N / B^D,-0.2947125487068927,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_tens,floorNdivBpowD,floor(N / B^D),-0.293154333888171,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.6416060960997398,3677,5
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,0,input,N_ones,BpowD,B^D,-0.1342768255426568,3677,5
