target,target_label,representation_index,layer_label,stream,n_seeds,mean_cv_r2,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile
BpowD,B^D,0,input,B_ones,3,-0.07974433674310774,-0.1115997976257735,-0.05591820643488884
BpowD,B^D,0,input,B_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,0,input,B_tens,3,-0.07172020067934971,-0.10468360173390982,-0.04028521218076002
BpowD,B^D,0,input,D_ones,3,0.2081024302005535,0.10760617444546068,0.3386047889080858
BpowD,B^D,0,input,D_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,0,input,N_hundreds,3,-0.056286228100914194,-0.06462904627120829,-0.047287498707500965
BpowD,B^D,0,input,N_ones,3,-0.10956054924977555,-0.1342768255426568,-0.08875651582555795
BpowD,B^D,0,input,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,0,input,N_tens,3,-0.10882782250254079,-0.13387264309533178,-0.09088028199081173
BpowD,B^D,0,input,O[0],3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,0,input,O[1],3,-0.08524628966003119,-0.09706177321964164,-0.07898593243663639
BpowD,B^D,1,0,B_ones,3,-0.05650734761503375,-0.061321884928170145,-0.05396320716893466
BpowD,B^D,1,0,B_tag,3,-0.10651811769445581,-0.1344232148530265,-0.08791401500831901
BpowD,B^D,1,0,B_tens,3,-0.14054793387340828,-0.2693317387651749,-0.0261258576003361
BpowD,B^D,1,0,D_ones,3,0.9980738165681965,0.9955646091181934,0.9995441928277708
BpowD,B^D,1,0,D_tag,3,-0.09087515435606229,-0.12503330757301628,-0.05643146914658862
BpowD,B^D,1,0,N_hundreds,3,-0.056310905099833435,-0.06462904627120883,-0.0407226848072479
BpowD,B^D,1,0,N_ones,3,-0.08365764967891993,-0.08968180001721786,-0.07712087052986645
BpowD,B^D,1,0,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,1,0,N_tens,3,-0.07503921050495764,-0.08102863969539656,-0.0712793628936497
BpowD,B^D,1,0,O[0],3,0.6839359934721639,0.6334876136553036,0.7133054798761979
BpowD,B^D,1,0,O[1],3,0.5703844365499772,0.5012961536582384,0.6236361515313196
BpowD,B^D,2,1,B_ones,3,-0.1030776073458863,-0.13766371440934044,-0.08115220283397853
BpowD,B^D,2,1,B_tag,3,-0.1334361643708686,-0.14188378468986623,-0.12400149025458367
BpowD,B^D,2,1,B_tens,3,-0.12065677021841203,-0.1693725877446889,-0.02558984848630876
BpowD,B^D,2,1,D_ones,3,0.9373038580416074,0.8436873854181745,0.9958413411731927
BpowD,B^D,2,1,D_tag,3,-0.07371508505673573,-0.08877021360067501,-0.06245166127222146
BpowD,B^D,2,1,N_hundreds,3,-0.061717389938761524,-0.06462904627120847,-0.05694213932403316
BpowD,B^D,2,1,N_ones,3,-0.10261529811038302,-0.12230915378997213,-0.07712070116940697
BpowD,B^D,2,1,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,2,1,N_tens,3,-0.08518521642901904,-0.0908687326610802,-0.08102863967996594
BpowD,B^D,2,1,O[0],3,0.876489089127733,0.8174720665759772,0.9342530639104423
BpowD,B^D,2,1,O[1],3,0.857699288223562,0.8244345179352998,0.9027063868903064
BpowD,B^D,3,2,B_ones,3,-0.0744087326867691,-0.07675976476761652,-0.07246552873254417
BpowD,B^D,3,2,B_tag,3,-0.08426765492564091,-0.10771720579954784,-0.05125388999923034
BpowD,B^D,3,2,B_tens,3,-0.121882365355995,-0.19111938051518007,-0.023515114443757867
BpowD,B^D,3,2,D_ones,3,0.9236969896384112,0.82761887237796,0.9889720699596062
BpowD,B^D,3,2,D_tag,3,-0.0656140586856513,-0.08238469840203218,-0.054833982310883524
BpowD,B^D,3,2,N_hundreds,3,-0.06171738993876182,-0.06462904627120855,-0.05694213932403328
BpowD,B^D,3,2,N_ones,3,-0.10315732609818333,-0.12620620364446125,-0.08450352970941295
BpowD,B^D,3,2,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,3,2,N_tens,3,-0.08921213743857688,-0.10548831676121344,-0.07127936289346337
BpowD,B^D,3,2,O[0],3,0.8223904739060236,0.7345153047532932,0.8752951512335544
BpowD,B^D,3,2,O[1],3,0.8250818730469319,0.7550627739509684,0.8910027784733883
BpowD,B^D,4,3,B_ones,3,-0.06528675453055495,-0.07878541103216105,-0.057743525742888525
BpowD,B^D,4,3,B_tag,3,-0.10844049896003004,-0.11988200086403729,-0.10117357860552816
BpowD,B^D,4,3,B_tens,3,-0.12228261862857233,-0.2024129359676051,-0.025835911040710768
BpowD,B^D,4,3,D_ones,3,0.9000335126805333,0.7884716199241991,0.9788686300223617
BpowD,B^D,4,3,D_tag,3,-0.06626835835795364,-0.087968960588928,-0.0474503725747325
BpowD,B^D,4,3,N_hundreds,3,-0.06171738993876169,-0.0646290462712082,-0.05694213932403328
BpowD,B^D,4,3,N_ones,3,-0.09079121870155993,-0.11050775671405337,-0.054226637808679944
BpowD,B^D,4,3,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,4,3,N_tens,3,-0.0754027439256212,-0.08251257984724085,-0.06917450774515373
BpowD,B^D,4,3,O[0],3,0.7897077557660847,0.7080475888106396,0.8437966342514919
BpowD,B^D,4,3,O[1],3,0.8163521470857708,0.7507730977293777,0.8849337093705113
BpowD,B^D,5,4,B_ones,3,-0.05973127093680471,-0.07116178479015003,-0.05261900805447676
BpowD,B^D,5,4,B_tag,3,-0.12171704248294213,-0.1344232185167741,-0.10374492776283044
BpowD,B^D,5,4,B_tens,3,-0.12384015983116915,-0.2152002205321566,-0.029623919335181114
BpowD,B^D,5,4,D_ones,3,0.8920948776088156,0.7828092230603758,0.9734338745026999
BpowD,B^D,5,4,D_tag,3,-0.06411084790475931,-0.08596527244429142,-0.04360494161486748
BpowD,B^D,5,4,N_hundreds,3,-0.061717389938761746,-0.06462904627120825,-0.05694213932403338
BpowD,B^D,5,4,N_ones,3,-0.10872706659252136,-0.13554027250952827,-0.0841702969499523
BpowD,B^D,5,4,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,5,4,N_tens,3,-0.08445511335347132,-0.10209552884858437,-0.07024117153196223
BpowD,B^D,5,4,O[0],3,0.7661247461897615,0.6975264817340484,0.8278063034187708
BpowD,B^D,5,4,O[1],3,0.7881473783986098,0.7126392892515341,0.8822572798441289
BpowD,B^D,6,5,B_ones,3,-0.05794745614294814,-0.06320221944679391,-0.05316462757461049
BpowD,B^D,6,5,B_tag,3,-0.0963555108921192,-0.10647063036099032,-0.07642382162761288
BpowD,B^D,6,5,B_tens,3,-0.1274859426327874,-0.21102426257400678,-0.03038561059124334
BpowD,B^D,6,5,D_ones,3,0.892119992390415,0.784986227109567,0.9688715363817
BpowD,B^D,6,5,D_tag,3,-0.06181986506768324,-0.08734908981903404,-0.03746377437440984
BpowD,B^D,6,5,N_hundreds,3,-0.05631090509983308,-0.06462904627120829,-0.04072268480724757
BpowD,B^D,6,5,N_ones,3,-0.11955022575523999,-0.12620620363760088,-0.11037034085277075
BpowD,B^D,6,5,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,6,5,N_tens,3,-0.08840898670724662,-0.10548831676124097,-0.07608036641445612
BpowD,B^D,6,5,O[0],3,0.7533620630327532,0.6793185530237259,0.8244710280557204
BpowD,B^D,6,5,O[1],3,0.7755478858726654,0.6968015891141007,0.8693969955562452
BpowD,B^D,7,6,B_ones,3,-0.060046467139543314,-0.0675098469100556,-0.055517064684762495
BpowD,B^D,7,6,B_tag,3,-0.11021683474351214,-0.1251846961513289,-0.09721711984687116
BpowD,B^D,7,6,B_tens,3,-0.13212972935282327,-0.22082997740375424,-0.02925357288056853
BpowD,B^D,7,6,D_ones,3,0.8819109454495891,0.7653627196925997,0.9690783449042716
BpowD,B^D,7,6,D_tag,3,-0.06026420212299055,-0.07732102714262368,-0.04392729831304998
BpowD,B^D,7,6,N_hundreds,3,-0.0563109050998336,-0.06462904627120833,-0.04072268480724841
BpowD,B^D,7,6,N_ones,3,-0.08727321950358903,-0.10426591741456408,-0.07712070116895324
BpowD,B^D,7,6,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,7,6,N_tens,3,-0.08715914288829463,-0.1054883167610976,-0.05389358305533417
BpowD,B^D,7,6,O[0],3,0.7484947664258016,0.6801203180574124,0.8139233208190279
BpowD,B^D,7,6,O[1],3,0.7806729182363314,0.698044004354359,0.8602255153439756
BpowD,B^D,8,7,B_ones,3,-0.060707453419471875,-0.07252845743204095,-0.050431079543031644
BpowD,B^D,8,7,B_tag,3,-0.10354220936646973,-0.12509970470572393,-0.07827951524197307
BpowD,B^D,8,7,B_tens,3,-0.12474903176746999,-0.20960483956463385,-0.03046742212595786
BpowD,B^D,8,7,D_ones,3,0.8687468642868366,0.7436225883180324,0.9630828076100068
BpowD,B^D,8,7,D_tag,3,-0.06345221762447961,-0.07939634595421759,-0.04859034107274104
BpowD,B^D,8,7,N_hundreds,3,-0.061717389938761545,-0.06462904627120833,-0.05694213932403284
BpowD,B^D,8,7,N_ones,3,-0.10886049457171866,-0.13554027250889855,-0.08262517183902389
BpowD,B^D,8,7,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,8,7,N_tens,3,-0.06784788695036971,-0.08102863967993876,-0.049705392244912695
BpowD,B^D,8,7,O[0],3,0.7389440613516894,0.6697876715597793,0.8079345994633558
BpowD,B^D,8,7,O[1],3,0.7686335097621707,0.6835984400619876,0.8500298540731327
BpowD,B^D,9,8,B_ones,3,-0.06008257136630338,-0.06947258861331966,-0.04970635015055432
BpowD,B^D,9,8,B_tag,3,-0.09992532115852525,-0.10771720579786555,-0.09088517907523319
BpowD,B^D,9,8,B_tens,3,-0.12948097925118682,-0.21378251089813674,-0.03098601018971679
BpowD,B^D,9,8,D_ones,3,0.8509497286794829,0.7083626475197624,0.9552928442283216
BpowD,B^D,9,8,D_tag,3,-0.06130676638161533,-0.08113402567737835,-0.03929456461431709
BpowD,B^D,9,8,N_hundreds,3,-0.053469131155799376,-0.06358098422104352,-0.039884269922321566
BpowD,B^D,9,8,N_ones,3,-0.10128793303267886,-0.11833687575305185,-0.07827951524261789
BpowD,B^D,9,8,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,9,8,N_tens,3,-0.07722490179068862,-0.1054883167612144,-0.03857462896330044
BpowD,B^D,9,8,O[0],3,0.7318673556208136,0.669358478387089,0.7960592961326641
BpowD,B^D,9,8,O[1],3,0.7557925537098518,0.6671238850815137,0.8391818719146343
BpowD,B^D,10,9,B_ones,3,-0.05972943644871335,-0.07164114149738984,-0.044628933612269904
BpowD,B^D,10,9,B_tag,3,-0.08868133238050331,-0.12400149086069161,-0.06160946635284481
BpowD,B^D,10,9,B_tens,3,-0.12903034534379287,-0.2153650470094306,-0.029183699059058998
BpowD,B^D,10,9,D_ones,3,0.8724628184604354,0.7605874113730916,0.9565781807487808
BpowD,B^D,10,9,D_tag,3,-0.055246500816211665,-0.0737819370465123,-0.03423139584124106
BpowD,B^D,10,9,N_hundreds,3,-0.06171738993876197,-0.06462904627120962,-0.056942139324033116
BpowD,B^D,10,9,N_ones,3,-0.0905761957963741,-0.10155279585704198,-0.07712070116661388
BpowD,B^D,10,9,N_tag,3,-0.10551909400534443,-0.13046239733120935,-0.08783133771992054
BpowD,B^D,10,9,N_tens,3,-0.06810420937616361,-0.08206453049661792,-0.054922217439949995
BpowD,B^D,10,9,O[0],3,0.7309295953675603,0.6797487650539621,0.7966945495612304
BpowD,B^D,10,9,O[1],3,0.7535460783539643,0.6749951654565022,0.8369075552235158
NdivBpowD,N / B^D,0,input,B_ones,3,-0.300161171290339,-0.3057345709937045,-0.29566791909880197
NdivBpowD,N / B^D,0,input,B_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,0,input,B_tens,3,-0.2980944559692165,-0.3032802764759886,-0.2929541801064888
NdivBpowD,N / B^D,0,input,D_ones,3,0.3681258684916829,0.34946718871799015,0.3875642819995046
NdivBpowD,N / B^D,0,input,D_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,0,input,N_hundreds,3,-0.21453301915044073,-0.24415716163265686,-0.17340195173382578
NdivBpowD,N / B^D,0,input,N_ones,3,-0.30303709463839895,-0.31290072466411795,-0.295207471155284
NdivBpowD,N / B^D,0,input,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,0,input,N_tens,3,-0.3014871925649587,-0.3075684382039545,-0.29471254870689295
NdivBpowD,N / B^D,0,input,O[0],3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,0,input,O[1],3,-0.24376384043476942,-0.2581890175011266,-0.2237985839227973
NdivBpowD,N / B^D,1,0,B_ones,3,-0.1655768964393365,-0.18281373393202735,-0.14425521561187563
NdivBpowD,N / B^D,1,0,B_tag,3,-0.20054720241747237,-0.2709339601226896,-0.1645261562283707
NdivBpowD,N / B^D,1,0,B_tens,3,-0.17349557194506704,-0.19385557768260475,-0.15798653976655724
NdivBpowD,N / B^D,1,0,D_ones,3,0.9476406444680352,0.8973765982783023,0.9865643635337881
NdivBpowD,N / B^D,1,0,D_tag,3,-0.16852929165145147,-0.18990999916672094,-0.1406773145523393
NdivBpowD,N / B^D,1,0,N_hundreds,3,-0.21796792327835743,-0.2414220884534298,-0.18644173729680227
NdivBpowD,N / B^D,1,0,N_ones,3,-0.1376466005208769,-0.16294550050059226,-0.09974058730841558
NdivBpowD,N / B^D,1,0,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,1,0,N_tens,3,-0.19601046049561055,-0.22549602580619607,-0.15792131667713205
NdivBpowD,N / B^D,1,0,O[0],3,0.8989339795207653,0.8631909988036863,0.9298310486096071
NdivBpowD,N / B^D,1,0,O[1],3,0.843599971961731,0.7823381446376368,0.8913849993698358
NdivBpowD,N / B^D,2,1,B_ones,3,-0.17579332851181015,-0.19644052211352045,-0.14990468942252066
NdivBpowD,N / B^D,2,1,B_tag,3,-0.28114836817778555,-0.2869944261686739,-0.27093393211924843
NdivBpowD,N / B^D,2,1,B_tens,3,-0.17506195423189283,-0.19250812921484148,-0.1624133816387244
NdivBpowD,N / B^D,2,1,D_ones,3,0.8724150599989707,0.7852263017470413,0.9572636238934846
NdivBpowD,N / B^D,2,1,D_tag,3,-0.1578152200840504,-0.16638265494107046,-0.14378204095365618
NdivBpowD,N / B^D,2,1,N_hundreds,3,-0.23720639805697571,-0.24415716163265708,-0.22603994408483982
NdivBpowD,N / B^D,2,1,N_ones,3,-0.19799705108377508,-0.2247449796286134,-0.150253774829504
NdivBpowD,N / B^D,2,1,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,2,1,N_tens,3,-0.23770676002760557,-0.2854875463523878,-0.20461403904039663
NdivBpowD,N / B^D,2,1,O[0],3,0.9097640518716763,0.8711788241873203,0.9301022349188554
NdivBpowD,N / B^D,2,1,O[1],3,0.9039000013612083,0.8851044497789026,0.916488659330026
NdivBpowD,N / B^D,3,2,B_ones,3,-0.15968876105566665,-0.17328444076701102,-0.13518646049737323
NdivBpowD,N / B^D,3,2,B_tag,3,-0.1374381964278216,-0.16310843830153904,-0.08725316461563633
NdivBpowD,N / B^D,3,2,B_tens,3,-0.1767218856041928,-0.1898846160530475,-0.16450951873269845
NdivBpowD,N / B^D,3,2,D_ones,3,0.960038597268689,0.9549988207073264,0.9680267687900684
NdivBpowD,N / B^D,3,2,D_tag,3,-0.1634644331302017,-0.1694260025151796,-0.15675360948783018
NdivBpowD,N / B^D,3,2,N_hundreds,3,-0.23720639805697571,-0.2441571616326567,-0.22603994408484004
NdivBpowD,N / B^D,3,2,N_ones,3,-0.19782507713791156,-0.2886955363203162,-0.14799971050018632
NdivBpowD,N / B^D,3,2,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,3,2,N_tens,3,-0.23594058937555895,-0.28548754635221096,-0.15792131667756898
NdivBpowD,N / B^D,3,2,O[0],3,0.9103343410861623,0.8656902274823178,0.9493024053723312
NdivBpowD,N / B^D,3,2,O[1],3,0.8832522403632203,0.8524336770245352,0.9061286530173911
NdivBpowD,N / B^D,4,3,B_ones,3,-0.15779295036207883,-0.16843216279097092,-0.13876276483584937
NdivBpowD,N / B^D,4,3,B_tag,3,-0.21677582061910103,-0.22458191920486334,-0.21018738646551224
NdivBpowD,N / B^D,4,3,B_tens,3,-0.17267174712879094,-0.18548308964530294,-0.16477448099531283
NdivBpowD,N / B^D,4,3,D_ones,3,0.9589991227634226,0.9508785186634041,0.9734456119751927
NdivBpowD,N / B^D,4,3,D_tag,3,-0.1635747025914128,-0.17564363054054702,-0.14654032804343378
NdivBpowD,N / B^D,4,3,N_hundreds,3,-0.23720639805697538,-0.24415716163265686,-0.22603994408483943
NdivBpowD,N / B^D,4,3,N_ones,3,-0.16240172193362432,-0.2285947703840124,-0.0970800102077423
NdivBpowD,N / B^D,4,3,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,4,3,N_tens,3,-0.20140663922405735,-0.226769612770339,-0.16691258539348244
NdivBpowD,N / B^D,4,3,O[0],3,0.8970931733669731,0.85180164729749,0.9311934671971146
NdivBpowD,N / B^D,4,3,O[1],3,0.8550816265618009,0.8239027763570208,0.876271516534597
NdivBpowD,N / B^D,5,4,B_ones,3,-0.16030409264799317,-0.1743685655973152,-0.14291739423225178
NdivBpowD,N / B^D,5,4,B_tag,3,-0.2406815323621081,-0.28484574463841994,-0.16626491983061076
NdivBpowD,N / B^D,5,4,B_tens,3,-0.1801570244725835,-0.18807416866785412,-0.17446016134303544
NdivBpowD,N / B^D,5,4,D_ones,3,0.9597579270946248,0.9512043680162338,0.9752862001468815
NdivBpowD,N / B^D,5,4,D_tag,3,-0.16225280256647331,-0.16713510243651827,-0.15444870329210328
NdivBpowD,N / B^D,5,4,N_hundreds,3,-0.2372063980569756,-0.2441571616326569,-0.22603994408483988
NdivBpowD,N / B^D,5,4,N_ones,3,-0.2019760546458369,-0.27990456225380617,-0.09974057223840327
NdivBpowD,N / B^D,5,4,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
NdivBpowD,N / B^D,5,4,N_tens,3,-0.23683295665718074,-0.2821801475090887,-0.20461403904058076
NdivBpowD,N / B^D,5,4,O[0],3,0.8901014812124588,0.846938286918084,0.9220261400049866
NdivBpowD,N / B^D,5,4,O[1],3,0.8412822602153387,0.8119457175291028,0.8663914659014672
NdivBpowD,N / B^D,6,5,B_ones,3,-0.1614732898517417,-0.17752085026576178,-0.14236534116291985
NdivBpowD,N / B^D,6,5,B_tag,3,-0.1840465326509615,-0.22628302943023967,-0.15615740616658674
NdivBpowD,N / B^D,6,5,B_tens,3,-0.18110743753755973,-0.19332011890476072,-0.1736173919802845
NdivBpowD,N / B^D,6,5,D_ones,3,0.9538836279221968,0.944002119489659,0.9696410414868083
NdivBpowD,N / B^D,6,5,D_tag,3,-0.16087138671970533,-0.16837388004625842,-0.14649239271935208
NdivBpowD,N / B^D,6,5,N_hundreds,3,-0.2179679232783572,-0.24142208845342994,-0.18644173729680177
NdivBpowD,N / B^D,6,5,N_ones,3,-0.24172051655263563,-0.2886955363198548,-0.21100032072958733
NdivBpowD,N / B^D,6,5,N_tag,3,-0.29967070839609056,-0.3055546564862209,-0.29309006550487654
