source_checkpoint,seed,num_layers,model_condition,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_tag,BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_tag,NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_hundreds,BpowD,B^D,-0.06358098422104352,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_hundreds,NdivBpowD,N / B^D,-0.24142208845343,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.2397985553322702,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5688624835415163,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_tens,BpowD,B^D,-0.10173054242147894,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_tens,NdivBpowD,N / B^D,-0.3075684382039546,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_tens,floorNdivBpowD,floor(N / B^D),-0.3058295989139986,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.572227257414603,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_ones,BpowD,B^D,-0.10564830638111125,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,initialized_untrained,0,input,N_ones,NdivBpowD,N / B^D,-0.31290072466411883,3848,5
