seed,target,target_label,representation_index,layer_label,stream,trained_cv_r2,init_cv_r2,trained_minus_init_cv_r2,remaining_gap_to_one_at_init,fraction_remaining_gap_closed,positive_fraction_remaining_gap_closed
0,BpowD,B^D,0,input,B_ones,-0.07171500616866089,-0.07171500616866097,8.326672684688674e-17,1.0717150061686609,7.769484085565063e-17,7.769484085565063e-17
42,BpowD,B^D,0,input,B_ones,-0.05591820643488883,-0.038774036805549514,-0.017144169629339318,1.0387740368055496,-0.01650423385827131,0.0
1337,BpowD,B^D,0,input,B_ones,-0.11159979762577352,-0.11159979762577366,1.3877787807814457e-16,1.1115997976257737,1.2484518112953537e-16,1.2484518112953537e-16
0,BpowD,B^D,1,0,B_ones,-0.061321884928170145,-0.08025755733663031,0.01893567240846017,1.0802575573366302,0.017528849745005237,0.017528849745005237
42,BpowD,B^D,1,0,B_ones,-0.05396320716893466,-0.028428738255885898,-0.02553446891304876,1.0284287382558859,-0.02482862250266626,0.0
1337,BpowD,B^D,1,0,B_ones,-0.05423695074799646,-0.06955585049149896,0.015318899743502493,1.069555850491499,0.014322673973933116,0.014322673973933116
0,BpowD,B^D,2,1,B_ones,-0.13766371440934044,-0.08758702987675701,-0.05007668453258343,1.087587029876757,-0.046043841234717574,0.0
42,BpowD,B^D,2,1,B_ones,-0.09041690479433992,-0.030390764351118517,-0.0600261404432214,1.0303907643511185,-0.05825570503926484,0.0
1337,BpowD,B^D,2,1,B_ones,-0.08115220283397853,-0.05403708516852386,-0.02711511766545467,1.054037085168524,-0.025725012949728798,0.0
0,BpowD,B^D,3,2,B_ones,-0.07675976476761652,-0.0831016479139615,0.006341883146344984,1.0831016479139615,0.005855298215600874,0.005855298215600874
42,BpowD,B^D,3,2,B_ones,-0.07246552873254417,-0.03661084146386377,-0.035854687268680394,1.0366108414638637,-0.0345883776577599,0.0
1337,BpowD,B^D,3,2,B_ones,-0.07400090456014663,-0.06127392635318803,-0.012726978206958603,1.061273926353188,-0.01199217081558933,0.0
0,BpowD,B^D,4,3,B_ones,-0.07878541103216105,-0.09572954311036455,0.0169441320782035,1.0957295431103646,0.015463790480728915,0.015463790480728915
42,BpowD,B^D,4,3,B_ones,-0.05933132681661526,-0.04372942156465496,-0.015601905251960299,1.0437294215646549,-0.014948227892791871,0.0
1337,BpowD,B^D,4,3,B_ones,-0.057743525742888525,-0.06399126685478707,0.00624774111189854,1.063991266854787,0.005871985331578128,0.005871985331578128
0,BpowD,B^D,5,4,B_ones,-0.07116178479015003,-0.09565031943661202,0.024488534646461987,1.095650319436612,0.022350684531406054,0.022350684531406054
42,BpowD,B^D,5,4,B_ones,-0.052619008054476765,-0.04566879724997965,-0.006950210804497113,1.0456687972499796,-0.006646665581659871,0.0
1337,BpowD,B^D,5,4,B_ones,-0.05541301996578733,-0.06676556449920032,0.011352544533412987,1.0667655644992002,0.01064202380655445,0.01064202380655445
0,BpowD,B^D,6,5,B_ones,-0.06320221944679391,-0.08583291694163733,0.02263069749484342,1.0858329169416374,0.020841786191733033,0.020841786191733033
42,BpowD,B^D,6,5,B_ones,-0.057475521407440014,-0.0401003708743181,-0.017375150533121914,1.0401003708743182,-0.016705263280039212,0.0
1337,BpowD,B^D,6,5,B_ones,-0.05316462757461049,-0.07016805046474203,0.017003422890131542,1.070168050464742,0.01588855402919893,0.01588855402919893
