checkpoint,seed,num_layers,representation_index,layer_label,stream,target,target_label,cv_r2,n_examples,cv_folds
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_tag,BpowD,B^D,-0.09826354696490336,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_tag,NdivBpowD,N / B^D,-0.3055546564862209,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_tag,floorNdivBpowD,floor(N / B^D),-0.3038081202942816,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_tag,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5683665798460951,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_hundreds,BpowD,B^D,-0.04728749870750097,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_hundreds,NdivBpowD,N / B^D,-0.17340195173382578,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_hundreds,floorNdivBpowD,floor(N / B^D),-0.172129127465449,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_hundreds,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.44979206723705767,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_tens,BpowD,B^D,-0.10173054242147886,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_tens,NdivBpowD,N / B^D,-0.3075684382039545,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_tens,floorNdivBpowD,floor(N / B^D),-0.3058295989139983,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_tens,floorNdivBpowD_modB,floor(N / B^D) mod B,-0.5722272574146038,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_ones,BpowD,B^D,-0.10564830638111192,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_ones,NdivBpowD,N / B^D,-0.31290072466411795,3848,5
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,0,input,N_ones,floorNdivBpowD,floor(N / B^D),-0.31115759880731597,3848,5
