checkpoint,seed,num_layers,sweep_order,step_index,blocked_layers,num_blocked_layers,n_examples,exact_answer_correct,o0_correct,o1_correct,exact_answer_accuracy,o0_token_accuracy,o1_token_accuracy,elapsed_seconds,examples_per_second,max_forbidden_attn_weight
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,forward,0,,0,1857,1855,1856,1855,0.9989229940764675,0.9994614970382337,0.9989229940764675,1.4091948340028466,1317.7737777572981,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,forward,1,0,1,1857,1855,1856,1855,0.9989229940764675,0.9994614970382337,0.9989229940764675,1.488562250000541,1247.5124906595777,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,forward,2,"0,1",2,1857,1197,1718,1210,0.6445880452342488,0.9251480883144857,0.6515885837372105,1.6371541669977887,1134.285357746952,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,forward,3,"0,1,2",3,1857,788,1545,830,0.4243403338718363,0.8319870759289176,0.44695745826602046,1.7395109999997658,1067.5413952543272,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,forward,4,"0,1,2,3",4,1857,692,1495,738,0.3726440495422725,0.8050619278406032,0.3974151857835218,1.7571091669997259,1056.8495315352764,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,forward,5,"0,1,2,3,4",5,1857,592,1415,644,0.31879375336564353,0.7619816908992999,0.34679590737749055,1.8375834159996884,1010.5663687597814,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,reverse,0,,0,1857,1855,1856,1855,0.9989229940764675,0.9994614970382337,0.9989229940764675,1.3971971250030037,1329.0894797654323,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,reverse,1,4,1,1857,1855,1856,1855,0.9989229940764675,0.9994614970382337,0.9989229940764675,1.6036001659995236,1158.0193363490532,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,reverse,2,"3,4",2,1857,1855,1856,1855,0.9989229940764675,0.9994614970382337,0.9989229940764675,1.5877383750012086,1169.5881571159898,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,reverse,3,"2,3,4",3,1857,1608,1694,1664,0.8659127625201939,0.9122240172320948,0.8960689283791061,2.0100728329998674,923.8471211157962,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,reverse,4,"1,2,3,4",4,1857,653,1441,707,0.3516424340333872,0.7759827679052235,0.3807215939687668,1.811901000000944,1024.890432754898,0.0
checkpoints/model_t_l5_mby_NB_intersection_pTrue_s1337_best.pt,1337,5,reverse,5,"0,1,2,3,4",5,1857,592,1415,644,0.31879375336564353,0.7619816908992999,0.34679590737749055,1.8533748330009985,1001.9559815610163,0.0
