sweep_order,step_index,blocked_layers,num_blocked_layers,n_seeds,mean_exact_answer_accuracy,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile
forward,0,,0,3,0.9983473805982482,0.9950421417947447,1.0
forward,1,0,1,3,0.9983473805982482,0.9950421417947447,1.0
forward,2,"0,1",2,3,0.7307833610665506,0.69362292051756,0.78082929456112
forward,3,"0,1,2",3,3,0.5585461182041758,0.5235674676524954,0.585027268220129
forward,4,"0,1,2,3",4,3,0.4570999843466385,0.4108133086876155,0.501884760366182
forward,5,"0,1,2,3,4",5,3,0.41878502188195843,0.3632162661737523,0.45288099084544964
forward,6,"0,1,2,3,4,5",6,3,0.38535872479425287,0.3521256931608134,0.40980075390414655
forward,7,"0,1,2,3,4,5,6",7,3,0.36144008557389623,0.3322550831792976,0.38072159396876676
forward,8,"0,1,2,3,4,5,6,7",8,3,0.34250246386056854,0.3211645101663586,0.35433494884221856
forward,9,"0,1,2,3,4,5,6,7,8",9,3,0.32868346866918374,0.3211645101663586,0.3331680713931582
forward,10,"0,1,2,3,4,5,6,7,8,9",10,3,0.3205990604330897,0.31717824448034465,0.3262270699058007
reverse,0,,0,3,0.9983473805982482,0.9950421417947447,1.0
reverse,1,9,1,3,0.9983473805982482,0.9950421417947447,1.0
reverse,2,"8,9",2,3,0.9983473805982482,0.9950421417947447,1.0
reverse,3,"7,8,9",3,3,0.9983473805982482,0.9950421417947447,1.0
reverse,4,"6,7,8,9",4,3,0.998182118658073,0.9945463559742191,1.0
reverse,5,"5,6,7,8,9",5,3,0.9980026176708177,0.9945463559742191,1.0
reverse,6,"4,5,6,7,8,9",6,3,0.9974641147090514,0.9945463559742191,1.0
reverse,7,"3,4,5,6,7,8,9",7,3,0.9794260802857119,0.9601507808292946,0.993992606284658
reverse,8,"2,3,4,5,6,7,8,9",8,3,0.9103629117625234,0.8249865374259558,0.9578582052553296
reverse,9,"1,2,3,4,5,6,7,8,9",9,3,0.3505719109805301,0.3236402800215401,0.3847297967278136
reverse,10,"0,1,2,3,4,5,6,7,8,9",10,3,0.3205990604330897,0.31717824448034465,0.3262270699058007
