checkpoint,seed,num_layers,sweep_order,step_index,blocked_layers,num_blocked_layers,n_examples,exact_answer_correct,o0_correct,o1_correct,exact_answer_accuracy,o0_token_accuracy,o1_token_accuracy,elapsed_seconds,examples_per_second,max_forbidden_attn_weight
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,0,,0,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,2.859537583000929,705.3588006642908,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,1,0,1,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,2.9899120000009134,674.6017943000944,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,2,"0,1",2,2017,1448,1897,1474,0.7178978681209718,0.940505701536936,0.7307882994546356,3.0218870829994557,667.4637220388698,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,3,"0,1,2",3,2017,1180,1852,1209,0.585027268220129,0.918195339613287,0.5994050570153694,3.143780833001074,641.584164782428,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,4,"0,1,2,3",4,2017,925,1845,956,0.458601883986118,0.9147248388696083,0.4739712444224095,3.2525124159983534,620.1359878224739,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,5,"0,1,2,3,4",5,2017,888,1828,919,0.4402578086266733,0.9062964799206743,0.4556271690629648,3.452800250001019,584.1635350899331,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,6,"0,1,2,3,4,5",6,2017,795,1767,832,0.39414972731779874,0.8760535448686168,0.41249380267724345,4.150024332997418,486.02124666174933,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,7,"0,1,2,3,4,5,6",7,2017,749,1746,789,0.3713435795736242,0.8656420426375806,0.3911750123946455,4.400465333001193,458.3606158361373,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,8,"0,1,2,3,4,5,6,7",8,2017,710,1737,755,0.3520079325731284,0.8611799702528508,0.3743182944967774,3.653290707999986,552.1049818409381,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,9,"0,1,2,3,4,5,6,7,8",9,2017,672,1692,722,0.3331680713931582,0.8388696083292018,0.3579573624194348,3.82123941700047,527.8392112848217,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,10,"0,1,2,3,4,5,6,7,8,9",10,2017,658,1679,709,0.3262270699058007,0.8324243926623699,0.3515121467526029,3.881312124998658,519.6696207473129,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,0,,0,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,3.0261132500017993,666.5315648708126,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,1,9,1,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,3.333374833000562,605.0924666591974,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,2,"8,9",2,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,3.339163542001188,604.0434901224381,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,3,"7,8,9",3,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,3.6180611659983697,557.4809013609995,0.0
