condition,metric,n_seeds,mean,ci95_low_bootstrap_percentile,ci95_high_bootstrap_percentile
clean,source_exact_rate,1,0.9989779231398201,0.9989779231398201,0.9989779231398201
clean,donor_exact_rate,1,0.0,0.0,0.0
clean,source_o0_rate,1,0.9995911692559281,0.9995911692559281,0.9995911692559281
clean,source_o1_rate,1,0.9989779231398201,0.9989779231398201,0.9989779231398201
clean,donor_o0_rate,1,0.7019623875715454,0.7019623875715454,0.7019623875715454
clean,donor_o1_rate,1,0.033728536385936224,0.033728536385936224,0.033728536385936224
l1_only,source_exact_rate,1,0.214227309893704,0.214227309893704,0.214227309893704
l1_only,donor_exact_rate,1,0.634300899427637,0.634300899427637,0.634300899427637
l1_only,source_o0_rate,1,0.9053556827473426,0.9053556827473426,0.9053556827473426
l1_only,source_o1_rate,1,0.2250613246116108,0.2250613246116108,0.2250613246116108
l1_only,donor_o0_rate,1,0.7782093213409649,0.7782093213409649,0.7782093213409649
l1_only,donor_o1_rate,1,0.6991005723630417,0.6991005723630417,0.6991005723630417
l0_plus_l2plus,source_exact_rate,1,0.634300899427637,0.634300899427637,0.634300899427637
l0_plus_l2plus,donor_exact_rate,1,0.214227309893704,0.214227309893704,0.214227309893704
l0_plus_l2plus,source_o0_rate,1,0.7782093213409649,0.7782093213409649,0.7782093213409649
l0_plus_l2plus,source_o1_rate,1,0.6991005723630417,0.6991005723630417,0.6991005723630417
l0_plus_l2plus,donor_o0_rate,1,0.9053556827473426,0.9053556827473426,0.9053556827473426
l0_plus_l2plus,donor_o1_rate,1,0.2250613246116108,0.2250613246116108,0.2250613246116108
