cell_id,drop_threshold,relative_increment_fraction,plateau_patience,checkpoint,seed,n_discovery_examples_used,eval_clean_test_exact_accuracy,eval_kept_only_test_exact_accuracy,candidate_relations,retained_relations,retained_relation_fraction,candidate_layer_edges,retained_layer_edges,retained_layer_edge_fraction
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,1831,0.9950421417947447,0.7332672285572632,79,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.27848101265822783,500,92,0.184
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,2482,1.0,0.9958410351201479,85,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->N_tens;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_ones;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.3411764705882353,538,126,0.2342007434944238
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,1820,1.0,0.7964458804523424,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->B_tag;N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.30952380952380953,558,102,0.1827956989247312
drop0.01_rel0.2,0.01,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,1831,0.9950421417947447,0.7243430837878037,79,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.27848101265822783,505,90,0.1782178217821782
drop0.01_rel0.2,0.01,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,2482,1.0,0.993992606284658,85,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->N_tens;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_ones;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.3411764705882353,484,114,0.23553719008264462
drop0.01_rel0.2,0.01,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,1820,1.0,0.6763597199784599,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->B_tag;N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.30952380952380953,529,96,0.18147448015122875
drop0.01_rel0.3,0.01,0.3,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,1831,0.9950421417947447,0.6921170054536441,79,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.27848101265822783,451,86,0.19068736141906872
drop0.01_rel0.3,0.01,0.3,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,2482,1.0,0.993992606284658,85,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->N_tens;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_ones;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.3411764705882353,484,114,0.23553719008264462
drop0.01_rel0.3,0.01,0.3,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,1820,1.0,0.8039849219170705,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->B_tag;N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.30952380952380953,531,97,0.18267419962335216
drop0.02_rel0.1,0.02,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,1831,0.9950421417947447,0.9137332672285573,79,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.27848101265822783,500,111,0.222
drop0.02_rel0.1,0.02,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,2482,1.0,0.9168207024029574,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.2857142857142857,518,104,0.20077220077220076
drop0.02_rel0.1,0.02,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,1820,1.0,0.9838449111470113,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.2857142857142857,551,106,0.19237749546279492
drop0.02_rel0.2,0.02,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,1831,0.9950421417947447,0.9082796232027764,79,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.27848101265822783,500,106,0.212
drop0.02_rel0.2,0.02,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,2482,1.0,0.9168207024029574,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.2857142857142857,483,97,0.20082815734989648
drop0.02_rel0.2,0.02,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,1820,1.0,0.9768443726440496,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.2857142857142857,529,103,0.1947069943289225
drop0.02_rel0.3,0.02,0.3,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,1831,0.9950421417947447,0.8869608329201785,79,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.27848101265822783,446,100,0.2242152466367713
drop0.02_rel0.3,0.02,0.3,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,2482,1.0,0.916358595194085,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.2857142857142857,480,96,0.2
drop0.02_rel0.3,0.02,0.3,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,1820,1.0,0.9822294022617124,84,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.2857142857142857,525,101,0.19238095238095237
drop0.05_rel0.1,0.05,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,1831,0.9950421417947447,0.7997025285076846,76,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[1];N_tag->N_hundreds;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.25,465,85,0.1827956989247312
drop0.05_rel0.1,0.05,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,2482,1.0,0.7703327171903882,81,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1],0.2716049382716049,468,80,0.17094017094017094
drop0.05_rel0.1,0.05,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,1820,1.0,0.929456112008616,79,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[0];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.27848101265822783,513,97,0.18908382066276802
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,1831,0.9950421417947447,0.7982151710461081,76,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[1];N_tag->N_hundreds;N_tens->O[0];N_tens->O[1];O[0]->O[1],0.25,465,80,0.17204301075268819
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,2482,1.0,0.6719038817005545,81,B_ones->O[0];B_ones->O[1];B_tag->B_ones;B_tag->B_tens;B_tens->B_ones;B_tens->O[0];D_ones->O[0];D_ones->O[1];D_tag->D_ones;N_hundreds->O[0];N_hundreds->O[1];N_ones->O[1];N_tag->N_hundreds;N_tag->N_tens;N_tens->O[0];N_tens->O[1],0.2716049382716049,445,76,0.1707865168539326
