cell_id,seed,n_relations,reference_relations,intersection_with_reference,union_with_reference,iou_with_reference,contains_all_reference_relations,exact_reference_match,missing_reference_relations,extra_relations
drop0.01_rel0.1,0,17,17,17,17,1.0,1,1,,
drop0.01_rel0.1,42,20,17,17,20,0.85,1,0,,B_tens->O[0];N_hundreds->N_tens;N_tag->N_ones
drop0.01_rel0.1,1337,19,17,17,19,0.8947368421052632,1,0,,B_tens->O[0];N_tag->B_tag
drop0.01_rel0.2,0,17,17,17,17,1.0,1,1,,
drop0.01_rel0.2,42,20,17,17,20,0.85,1,0,,B_tens->O[0];N_hundreds->N_tens;N_tag->N_ones
drop0.01_rel0.2,1337,19,17,17,19,0.8947368421052632,1,0,,B_tens->O[0];N_tag->B_tag
drop0.01_rel0.3,0,17,17,17,17,1.0,1,1,,
drop0.01_rel0.3,42,20,17,17,20,0.85,1,0,,B_tens->O[0];N_hundreds->N_tens;N_tag->N_ones
drop0.01_rel0.3,1337,19,17,17,19,0.8947368421052632,1,0,,B_tens->O[0];N_tag->B_tag
drop0.02_rel0.1,0,17,17,17,17,1.0,1,1,,
drop0.02_rel0.1,42,18,17,17,18,0.9444444444444444,1,0,,B_tens->O[0]
drop0.02_rel0.1,1337,18,17,17,18,0.9444444444444444,1,0,,B_tens->O[0]
drop0.02_rel0.2,0,17,17,17,17,1.0,1,1,,
drop0.02_rel0.2,42,18,17,17,18,0.9444444444444444,1,0,,B_tens->O[0]
drop0.02_rel0.2,1337,18,17,17,18,0.9444444444444444,1,0,,B_tens->O[0]
drop0.02_rel0.3,0,17,17,17,17,1.0,1,1,,
drop0.02_rel0.3,42,18,17,17,18,0.9444444444444444,1,0,,B_tens->O[0]
drop0.02_rel0.3,1337,18,17,17,18,0.9444444444444444,1,0,,B_tens->O[0]
drop0.05_rel0.1,0,15,17,15,17,0.8823529411764706,0,0,N_ones->O[0];N_tag->N_tens,
drop0.05_rel0.1,42,16,17,15,18,0.8333333333333334,0,0,N_ones->O[0];O[0]->O[1],B_tens->O[0]
drop0.05_rel0.1,1337,17,17,17,17,1.0,1,1,,
drop0.05_rel0.2,0,15,17,15,17,0.8823529411764706,0,0,N_ones->O[0];N_tag->N_tens,
drop0.05_rel0.2,42,16,17,15,18,0.8333333333333334,0,0,N_ones->O[0];O[0]->O[1],B_tens->O[0]
drop0.05_rel0.2,1337,17,17,17,17,1.0,1,1,,
drop0.05_rel0.3,0,15,17,15,17,0.8823529411764706,0,0,N_ones->O[0];N_tag->N_tens,
drop0.05_rel0.3,42,16,17,15,18,0.8333333333333334,0,0,N_ones->O[0];O[0]->O[1],B_tens->O[0]
drop0.05_rel0.3,1337,17,17,17,17,1.0,1,1,,
